code,discipline,nomUE,semestre,ETCS,nbplace,
SPUE30,Electronique,UE ELECTRONIQUE S3 : Automatique - introduction,3,6,29,
SPUE32,Electronique,UE ELECTRONIQUE S3 : Physique des capteurs,3,6,29,
SPUE31,Electronique,UE ELECTRONIQUE S3 : Systeme embarque,3,6,26,
SPUF31,Informatique,UE INFO S3 : Bases de donnees,3,6,94,
SPUF32,Informatique,UE INFO S3 : Outils formels de l'informatique,3,6,71,
SPUF30,Informatique,UE INFO S3 : Structures de donnees et programmation C,3,6,94,
SPUM32,Mathematique,UE MATHS S3 : Complements d'algebre,3,6,64,
SPUM31,Mathematique,UE MATHS S3 : Complements d'analyse,3,6,62,
SPUM30,Mathematique,UE MATHS S3 : Fondements 3,3,6,192,
SPUM34,Mathematique,UE MATHS S3 : Methodes - approche geometrique,3,6,104,
SPUM33,Mathematique,UE MATHS S3 : Methodes - mathematiques et ingenierie,3,6,50,
SPEA31,MIASHS,ECUE MIASHS S3 : Economie bancaire,3,6,66,
SPEA32,MIASHS,ECUE MIASHS S3 : Economie de l'assurance,3,6,21,
SPEA30,MIASHS,ECUE MIASHS S3 : Microeconomie 2,3,6,83,
SPUA31,MIASHS,UE MIASHS S3 : Introduction R,3,6,96,
SPUP30,Physique,UE PHYSIQUE S3 : Electromagnetisme 1,3,6,48,
SPUP32,Physique,UE PHYSIQUE S3 : Outils et methodes 1,3,6,39,
SPUP31,Physique,UE PHYSIQUE S3 : Thermodynamique 1,3,6,64,
SPUT30,Sciences de la terre,UE TERRE S3 : Atmosphere - ocean - climats,3,6,21,
SPUT31,Sciences de la terre,UE TERRE S3 : Le temps en geosciences,3,6,17,
SPUT33,Sciences de la terre,UE TERRE S3 : Materiaux terrestres,3,6,17,
SPUT32,Sciences de la terre,UE TERRE S3 : Physique de la Terre,3,6,17,
SPUC43,Chimie,UE CHIMIE S4 : Bloc de chimie experimentale,6,4,60,
SPEC44,Chimie,ECUE CHIMIE S4 : TP Chimie inorganique,4,3,60,
SPEC45,Chimie,ECUE CHIMIE S4 : TP Chimie organique,4,3,60,
SPUC42,Chimie,UE CHIMIE S4 : Chimie organique fonctionnelle II,4,3,62,
SPUC41,Chimie,UE CHIMIE S4 : Materiaux 2,4,6,62,
SPEC43,Chimie,ECUE Chimie S4 : Chimie inorganique 2,4,3,62,
SPEC42,Chimie,ECUE Chimie S4 : Chimie systematique,4,3,62,
SPUC40,Chimie,UE CHIMIE S4 : Vision macroscopique des molecules,4,6,62,
SPEC41,Chimie,ECUE Chimie S4 : De la molecule aux proprietes macroscopique,4,3,62,
SPEC40,Chimie,ECUE Chimie S4 : Spectroscopies,4,3,62,
SPUM44,Mathematique,UE MATH S4 : Methodes - approche aleatoire,4,6,79,
SPUM41,Mathematique,UE MATH S4 : Probabilites et introduction aux statistiques,4,6,63,
SPUE42,Electronique,UE ELECTRONIQUE S4 : Architecture des processeurs,4,6,18,
SPUE41,Electronique,UE ELECTRONIQUE S4 : Electronique analogique avancee,4,6,18,
SPUE40,Electronique,UE ELECTRONIQUE S4 : Systeme optimise en energie,4,6,23,
SPUF43,Informatique,UE INFO S4 : Introduction aux systemes intelligents,4,6,18,
SPUF44,Informatique,UE INFO S4 : Technologies du web,4,6,77,
SPUF40,Informatique,UE INFO S4 : Algorithmique 1,4,6,89,
SPUF41,Informatique,UE INFO S4 : Reseaux et telecommunication,4,6,74,
SPUF42,Informatique,UE INFO S4 : Systemes 2 - mecanismes internes syst. d'expl,4,6,72,
VPUG2D4,Mathematique,UE CLE2D Methodologie et didactique - Geometrie,4,6,9,
SPUE43,Electronique,UE ELECTRONIQUE S4 : Systemes embarques II,4,6,18,
VPUC1D4,nullllll,UE Enseignements fondamentaux a l'ecole primaire 2,4,6,5,
SPUGDE40,Geographie,UE GEO S4 : Approfondissement hors geographie 2,4,6,5,
SPUGDI40,Geographie,UE GEO S4 : Disciplinaire 6,4,6,5,
SPUGDI41,Geographie,UE GEO S4 : Disciplinaire 7,4,6,5,
SPUGDI42,Geographie,UE GEO S4 : Disciplinaire 8,4,6,5,
SPUA40,MIASHS,UE MIASHS S4 : Economie-gestion 4,4,6,73,
SPUA41,MIASHS,UE MIASHS S4 : Mathematiques pour la finance,4,6,69,
SPUP40,Physique,UE PHYSIQUE S4 : Electromagnetisme 2,4,6,37,
SPUP42,Physique,UE PHYSIQUE S4 : Mecanique 3,4,6,34,
SPUP41,Physique,UE PHYSIQUE S4 : Ondes,4,6,35,
SPUP43,Physique,UE PHYSIQUE S4 : Outils et methodes 2,4,6,30,
SPUP44,Physique,UE PHYSIQUE S4 : Outils et methodes 2D,4,6,3,
SPUS44,Physique,UE Professionnalisante S4 : Management de projet,4,6,6,
SPUT43,Sciences de la terre,UE TERRE S4 : Du paysage a la carte,4,6,12,
SPUT41,Sciences de la terre,UE TERRE S4 : Formation et evolution bassins sedimentaires,4,6,13,
SPUT40,Sciences de la terre,UE TERRE S4 : Geologie structurale et tectonique,4,6,13,
SPUT42,Sciences de la terre,UE TERRE S4 : Geomecanique,4,6,12,
SPUM42,Mathematique,UE MATH S4 : Algebre,4,6,51,
SPUM43,Mathematique,UE MATH S4 : Resolution numerique des systemes d'equations,4,6,99,
SPUM40,Mathematique,UE MATH S4 : Analyse,4,6,67,
VPUP2D4,Physique,UE CLE2D Methodologie et didactique Physique Chimie,4,6,3,
